Title,Features.Max Players,Metadata.Genres,Metadata.Publishers,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,Release.Rating,Release.Year,Length.All PlayStyles.Average,Length.All PlayStyles.Leisure,Length.All PlayStyles.Median,Length.All PlayStyles.Rushed,Length.Completionists.Average,Length.Completionists.Leisure,Length.Completionists.Median,Length.Completionists.Rushed,Length.Main + Extras.Average,Length.Main + Extras.Leisure,Length.Main + Extras.Median,Length.Main + Extras.Rushed,Length.Main Story.Average,Length.Main Story.Leisure,Length.Main Story.Median,Length.Main Story.Rushed
Asphalt: Urban GT,1,racing/simulation,Ubisoft,60,0.11,14.95,Nintendo DS,E,2004,12.4,13.7,12.4,11.1,9.816666667,9.816666667,9.816666667,9.816666667,0,0,0,0,15,15,15,15
Zoo Keeper,1,action,NA,74,0.1,14.95,Nintendo DS,T,2004,7.15,8.9,5,5.033333333,11.75,11.75,11.75,11.75,0,0,0,0,6,7.75,5,4.75
Mr. DRILLER: Drill Spirits,1,action,Namco,72,0.09,14.95,Nintendo DS,T,2004,9.883333333,10.98333333,9.883333333,8.766666667,0,0,0,0,0,0,0,0,9.883333333,10.98333333,9.883333333,8.766666667
Sprung,1,adventure,Ubisoft,48,0.06,8.95,Nintendo DS,E,2004,17.75,17.75,17.75,17.75,17.75,17.75,17.75,17.75,0,0,0,0,0,0,0,0
Armored Core: Formula Front - Extreme Battle,1,action/strategy,NA,66,0.05,16.95,Sony PSP,E,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puyo Pop Fever,1,action/strategy,Sega,76,0.04,19.95,Nintendo DS,E,2004,2.5,3.116666667,2,1.866666667,0,0,0,0,4,4,4,4,1.75,1.866666667,1.75,1.616666667
Mario Kart DS,1,racing  ,Nintendo,91,9.99,29.95,Nintendo DS,E,2005,10.41666667,22.36666667,9.083333333,5.616666667,16.38333333,25.33333333,15,10.33333333,10.71666667,15.16666667,10,7.8,4.783333333,7.366666667,4.5,3.066666667
Nintendogs,1,simulation,Nintendo,83,9.72,26.95,Nintendo DS,E,2005,39.38333333,66.83333333,27.98333333,22.83333333,100,100,100,100,43.35,49.01666667,43.35,37.66666667,27.96666667,46.81666667,22.15,18.53333333
Brain Age: Train Your Brain in Minutes a Day!,1,action,Nintendo,77,5.07,17.95,Nintendo DS,M,2005,0.95,1.483333333,1,0.633333333,1,1,1,1,0.933333333,0.966666667,0.933333333,0.9,0.933333333,1.483333333,1,0.633333333
Brain Agey: More Training in Minutes a Day!,1,action,Nintendo,77,3.65,17.95,Nintendo DS,E,2005,13.25,27.05,15,7.466666667,1,1,1,1,23.33333333,29.58333333,15,17.08333333,7.266666667,12.06666667,1,2.483333333
Grand Theft Auto: Liberty City Stories,1,action/racing  ,Capcom,88,2.97,17.95,Sony PSP,E,2005,20.26666667,44.8,14.96666667,12.33333333,46.66666667,59.46666667,47.23333333,33.2,26.55,39.13333333,20,18.63333333,14.21666667,21.9,13.85,10.53333333
Animal Crossing: Wild World,1,simulation,Nintendo,86,2.6,24.95,Nintendo DS,T,2005,168.9666667,437.3666667,80.53333333,72.36666667,408.5833333,555.8,314.6666667,308.3,180.5333333,265.1333333,180,105.1333333,72.38333333,135.5833333,70,45.58333333
Big Brain Academy,1,action,Nintendo,74,1.77,16.95,Nintendo DS,E,2005,9.166666667,14.06666667,7.133333333,4.566666667,16.38333333,17.83333333,15,14.91666667,8.066666667,8.533333333,8.066666667,7.6,4.3,5.35,5.116666667,2.85
Call of Duty 2,4,action,Activision,89,1.69,17.95,X360,E,2005,9.233333333,14.55,9,6.55,11.63333333,15.7,11.18333333,8.2,9.6,11.31666667,10,7.4,8.516666667,11.36666667,8.983333333,6.366666667
Midnight Club 3: DUB Edition,1,racing  ,Rockstar,74,1.69,14.95,Sony PSP,T,2005,39,46.75,48,29.25,48.86666667,49.4,48.75,48.4,49,49.5,49,48.5,19.16666667,21.16666667,19.5,17.16666667
Need for Speed: Most Wanted 5-1-0,1,racing  ,EA,72,1.67,14.95,Sony PSP,M,2005,11.38333333,12.43333333,10.33333333,10.35,0,0,0,0,9.833333333,9.833333333,9.833333333,9.833333333,12.16666667,13.08333333,12.16666667,11.25
Pokmon Mystery Dungeon: Blue Rescue Team,1,role-playing (rpG),Nintendo,62,1.22,14.95,Nintendo DS,T,2005,37.46666667,101.0166667,25.61666667,20.26666667,111.9666667,135.7333333,90,87.98333333,39.61666667,70.25,38.5,29.46666667,22.56666667,43.91666667,23.05,15.9
Sonic Rush,1,action,Sega,82,1.2,14.95,Nintendo DS,E,2005,7.916666667,13.53333333,6.216666667,5.033333333,13.43333333,17.35,16,10.46666667,9.433333333,10.35,10,8.183333333,4.966666667,5.983333333,5,3.983333333
Star Wars: Battlefront II,1,action,NA,69,1.09,16.95,Sony PSP,E,2005,15.01666667,116,9,7.416666667,48.9,131.0666667,35.36666667,28.56666667,13.41666667,16.68333333,13.35,9.833333333,7.783333333,11.23333333,8,5.35
SOCOM: U.S. Navy SEALs - Fireteam Bravo,1,action,Sony,82,1.07,14.95,Sony PSP,E,2005,8.583333333,8.583333333,8.583333333,8.583333333,0,0,0,0,0,0,0,0,8.583333333,8.583333333,8.583333333,8.583333333
Need for Speed: Most Wanted,2,racing  ,EA,83,0.95,17.95,X360,E,2005,14.6,46.65,12,8.366666667,34.6,56.15,30,25.21666667,15.91666667,33.25,14,12.46666667,10.18333333,17.03333333,10,6.75
Zoo Tycoon DS,1,simulation/strategy,THQ,44,0.92,12.95,Nintendo DS,T,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Sims 2,1,role-playing (rpG)/simulation,EA,70,0.83,17.95,Nintendo DS,M,2005,55.93333333,122.7,34.91666667,29.7,200,200,200,200,61.55,90.38333333,60,42,40.66666667,77.9,30.98333333,24.9
Mario & Luigi: Partners in Time,1,action/role-playing (rpG),Nintendo,86,0.75,29.95,Nintendo DS,E,2005,19.66666667,30.31666667,18.65,14.38333333,33.91666667,39.21666667,40,27.46666667,19.25,24.06666667,19.03333333,16.65,18.15,21.81666667,18.01666667,13.85
Madden NFL 06,1,sports,EA,75,0.75,7.95,Sony PSP,E,2005,3.75,5.366666667,3.75,2.116666667,3.75,5.366666667,3.75,2.116666667,0,0,0,0,0,0,0,0
Need for Speed Underground: Rivals,4,racing  ,EA,74,0.73,17.95,Sony PSP,E,2005,22.36666667,28.03333333,20.46666667,16.7,27.56666667,31.11666667,27.56666667,24.01666667,0,0,0,0,12,12,12,12
Twisted Metal: Head-On,1,action/racing  ,Sony,79,0.73,14.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perfect Dark Zero,4,action,Microsoft,79,0.7,17.95,X360,E,2005,9.3,20.68333333,8,6.316666667,28.85,30.78333333,28.85,26.91666667,10.16666667,11.28333333,10,9.033333333,7.816666667,10,8,5.95
Super Monkey Ball: Touch & Roll,1,action,Sega,63,0.7,15.95,Nintendo DS,T,2005,1.45,2.75,0.566666667,0.583333333,0,0,0,0,3.55,4.016666667,3.55,3.083333333,0.85,2.166666667,0.466666667,0.4
Super Princess Peach,1,action,Nintendo,75,0.7,29.95,Nintendo DS,T,2005,11,19.58333333,9.283333333,7.816666667,17.78333333,23.4,17.78333333,13.46666667,9.1,10.83333333,9.25,7.583333333,7.616666667,9.083333333,7,6.4
Burnout Legends,1,action/racing  ,EA,86,0.68,14.95,Sony PSP,T,2005,12.83333333,18.2,12,9,15.36666667,18.91666667,16.25,11.38333333,14.08333333,18.51666667,12,10.03333333,6.516666667,6.866666667,7,6.166666667
Clubhouse Games,1,strategy,Nintendo,83,0.61,17.95,Nintendo DS,E,2005,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0
ATV Offroad Fury: Blazin' Trails,4,racing/sports,Sony,63,0.56,12.95,Sony PSP,T,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Untold Legends: Brotherhood of the Blade,1,action/role-playing (rpG),Activision,68,0.56,12.95,Sony PSP,M,2005,21,21.5,21,20.5,0,0,0,0,22,22,22,22,20,20,20,20
Tony Hawk's Underground 2: Remix,1,sports,Activision,83,0.49,14.95,Sony PSP,T,2005,23.45,23.45,23.45,23.45,23.45,23.45,23.45,23.45,0,0,0,0,0,0,0,0
WipEout Pure,1,action/racing  ,Sony,88,0.45,12.95,Sony PSP,E,2005,9.516666667,14.58333333,8.8,6.383333333,0,0,0,0,14.2,16.55,12,11.85,6.716666667,9.666666667,6,4.983333333
NBA Live 06,1,sports,EA,80,0.42,9.95,Sony PSP,E,2005,4,4,4,4,0,0,0,0,0,0,0,0,4,4,4,4
WWE Smackdown vs. Raw 2006,4,action/sports,THQ,81,0.38,14.95,Sony PSP,T,2005,19.5,47.23333333,9.416666667,10.08333333,46.48333333,59.48333333,31.48333333,33.48333333,31,35.5,31,26.5,7.966666667,9.6,8,6.85
Dead or Alive 4,4,action,NA,85,0.38,17.95,X360,E,2005,27.38333333,158.3333333,6,8.5,138.75,209.05,97.5,89.05,11.06666667,15.26666667,10,7.766666667,3.733333333,5.4,3.85,2.066666667
Phoenix Wright: Ace Attorney,1,adventure/simulation,Capcom,81,0.38,24.95,Nintendo DS,E,2005,19.68333333,32.18333333,19.05,12.18333333,22.35,33.36666667,21.16666667,14.11666667,23.31666667,29.3,23,16.56666667,16.91666667,25.73333333,16.26666667,10.8
NFL Street 2,4,sports,EA,73,0.37,17.95,Sony PSP,T,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirby: Canvas Curse,1,action,Nintendo,86,0.37,17.95,Nintendo DS,T,2005,7.4,14.26666667,5.666666667,4.583333333,16.11666667,19.01666667,15.96666667,12.26666667,9.7,13.18333333,9.5,6.683333333,5.033333333,7.45,4.8,3.783333333
Battlefield 2: Modern Combat,4,action,EA,77,0.36,16.95,X360,E,2005,7.316666667,8.1,6.933333333,6.716666667,0,0,0,0,9.066666667,9.066666667,9.066666667,9.066666667,6.733333333,6.95,6.666666667,6.516666667
Yoshi Touch & Go,1,action,Nintendo,73,0.36,17.95,Nintendo DS,T,2005,4.5,5.25,4.5,3.75,0,0,0,0,6,6,6,6,3,3,3,3
Tiger Woods PGA Tour 06,4,sports,EA,71,0.33,9.95,X360,T,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Condemned: Criminal Origins,1,action/adventure,Sega,81,0.33,14.95,X360,E,2005,8.166666667,14.86666667,7.55,5.916666667,14.15,15.41666667,15,12.28333333,9.533333333,15.58333333,9,7.183333333,7.25,11.05,7,5.55
Peter Jackson's King Kong: The Official Game of...,2,action,Ubisoft,80,0.32,14.95,X360,T,2005,6.966666667,8.583333333,7,5.483333333,7.583333333,8.983333333,8,6.55,6.8,8.333333333,6.566666667,5.833333333,6.583333333,8.383333333,7,5.383333333
Castlevania: Dawn of Sorrow,1,action/role-playing (rpG),Konami,89,0.31,17.95,Nintendo DS,T,2005,16.03333333,62.45,13,9.75,30.01666667,69.18333333,26,20.25,15.48333333,32.36666667,14,10.53333333,11.21666667,16.15,10.41666667,7.9
SpongeBob SquarePants: The Yellow Avenger,1,action,THQ,67,0.31,13.95,Nintendo DS,E,2005,11.85,13.78333333,11.85,9.916666667,15.7,15.7,15.7,15.7,0,0,0,0,8,8,8,8
Marvel Nemesis: Rise of the Imperfects ,1,action,EA,58,0.31,17.95,Sony PSP,T,2005,5.033333333,6.15,4.583333333,4.133333333,0,0,0,0,6.15,7.15,7.5,5.133333333,4.366666667,4.633333333,4.166666667,3.966666667
Kameo: Elements of Power,1,action,Microsoft,79,0.31,11.95,X360,T,2005,10.03333333,14.55,10.2,7.283333333,17,17,17,17,11.43333333,15.1,11,9.483333333,9.25,10.7,8.95,6.783333333
Advance Wars: Dual Strike,1,strategy,Nintendo,90,0.3,17.95,Nintendo DS,T,2005,70.36666667,249.55,27.83333333,33.55,292.5,360.6166667,250,245.6166667,73.86666667,102.7666667,63.83333333,54.41666667,24.2,27.93333333,23.56666667,20.93333333
Trauma Center: Under the Knife,1,action/simulation,Nintendo,81,0.3,15.95,Nintendo DS,T,2005,8.75,11.75,8.266666667,6.75,9.066666667,11.56666667,7.216666667,6.566666667,11.43333333,13.35,12,10.35,8.15,9.916666667,8,6.65
Coded Arms,1,action,Konami,59,0.3,12.95,Sony PSP,M,2005,7.066666667,8.266666667,6,5.583333333,0,0,0,0,8.566666667,9.566666667,9.716666667,7.566666667,4.816666667,4.9,4.816666667,4.733333333
NBA LIVE 06 ,1,sports,EA,64,0.29,4.95,X360,E,2005,4,4,4,4,0,0,0,0,0,0,0,0,4,4,4,4
Tony Hawk's American Wasteland,1,sports,Activision,75,0.29,14.95,X360,E,2005,12.88333333,14.96666667,13,9.266666667,15,16,15,14,13.66666667,14.53333333,13,12.66666667,11.8,13.45,12,8.75
Star Wars: Episode III - Revenge of the Sith,1,action,Ubisoft,73,0.28,16.95,Nintendo DS,E,2005,5.1,6.016666667,5,4.016666667,6.266666667,6.683333333,6.5,5.85,5.616666667,6.283333333,5.55,4.783333333,4.616666667,5.216666667,5,3.9
Capcom Classics Collection Remixed,1,action,Capcom,72,0.28,17.95,Sony PSP,E,2005,35.66666667,35.66666667,35.66666667,35.66666667,0,0,0,0,35.66666667,35.66666667,35.66666667,35.66666667,0,0,0,0
Madagascar,1,adventure,Activision,66,0.27,14.95,Nintendo DS,E,2005,6.683333333,9.166666667,6,4.916666667,0,0,0,0,9.5,10.86666667,10,7.866666667,5.283333333,6.066666667,5,4.316666667
X-Men: Legends II - Rise of Apocalypse,1,action/role-playing (rpG),Activision,84,0.27,17.95,Sony PSP,M,2005,22.33333333,32.08333333,22,18.08333333,23.56666667,24.78333333,23.56666667,22.35,21.88333333,31.96666667,22,17.96666667,22.56666667,27.98333333,22,19.05
Quake 4,1,action,Activision,75,0.27,14.95,X360,E,2005,9.133333333,15.96666667,8.45,6.383333333,13.6,18.23333333,13,10.15,10.5,12.13333333,10.03333333,8.383333333,7.8,10.75,8,5.95
Pokmon Trozei!,1,strategy,Nintendo,74,0.26,19.95,Nintendo DS,E,2005,3.233333333,4.033333333,2.933333333,2.85,0,0,0,0,0,0,0,0,3.233333333,4.033333333,2.933333333,2.85
Mega Man Maverick Hunter X,1,action,Capcom,79,0.25,17.95,Sony PSP,E,2005,6.766666667,14.11666667,5.683333333,3.466666667,7.45,11.26666667,7.666666667,4.116666667,8.05,14.75,7,5.25,4.066666667,4.433333333,4,3.516666667
Metroid Prime Pinball,1,action/simulation,Nintendo,79,0.22,17.95,Nintendo DS,E,2005,5.566666667,8.633333333,5,3.283333333,8.666666667,10.41666667,9,6.916666667,5,5,5,5,2.683333333,3.366666667,2.766666667,2.016666667
NBA 06,1,sports,Sony,72,0.22,9.95,Sony PSP,E,2005,4,4,4,4,0,0,0,0,0,0,0,0,4,4,4,4
GUN ,1,action/racing/role-playing (rpG),Activision,75,0.22,19.95,X360,E,2005,8.85,14.83333333,8,5.95,13.18333333,17.23333333,13.25,10.1,8.55,10.53333333,8.516666667,6.633333333,6.3,10.08333333,6,4.816666667
NBA 2K6 ,1,sports,2K,81,0.22,4.95,X360,E,2005,0.616666667,0.7,0.533333333,0.533333333,0.616666667,0.7,0.533333333,0.533333333,0,0,0,0,0,0,0,0
Pinball Hall of Fame: The Gottlieb Collection,4,action,NA,73,0.21,9.95,Sony PSP,T,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Goblet of Fire,1,action,EA,68,0.21,17.95,Nintendo DS,T,2005,10.53333333,13.08333333,8.816666667,6.333333333,15,15.5,15,14.5,14.38333333,15.66666667,15.28333333,12.66666667,7.2,8.3,8,5.3
Tony Hawk's American Sk8land,1,sports,Activision,84,0.21,16.95,Nintendo DS,E,2005,18.8,20.7,20,16.2,0,0,0,0,18.8,20.7,20,16.2,0,0,0,0
MVP Baseball,1,sports,EA,67,0.21,4.95,Sony PSP,M,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiger Woods PGA Tour,1,sports,EA,78,0.21,17.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World Series of Poker,1,sports/strategy,Activision,37,0.21,14.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSX on Tour,1,sports,EA,79,0.2,16.95,Sony PSP,E,2005,15.5,16.25,15.5,14.75,0,0,0,0,15.5,16.25,15.5,14.75,0,0,0,0
Death Jr.,1,action,Konami,61,0.19,9.95,Sony PSP,M,2005,3.533333333,3.533333333,3.533333333,3.533333333,0,0,0,0,0,0,0,0,3.533333333,3.533333333,3.533333333,3.533333333
MediEvil Resurrection,1,action,Sony,66,0.19,17.95,Sony PSP,T,2005,9.6,10.81666667,9.716666667,7.733333333,9.25,10.66666667,10.43333333,7.816666667,0,0,0,0,9.966666667,10.73333333,9,9.2
The Chronicles of Narnia: The Lion/ the Witch a...,1,action/role-playing (rpG),NA,65,0.18,12.95,Nintendo DS,T,2005,4.35,5.75,2.666666667,2.9,0,0,0,0,8,8,8,8,3.616666667,5.516666667,2.45,2.666666667
Shrek SuperSlam,1,action,Activision,56,0.18,11.95,Nintendo DS,E,2005,1.216666667,1.666666667,1.5,0.9,0,0,0,0,0,0,0,0,1.216666667,1.666666667,1.5,0.9
Virtua Tennis: World Tour,1,sports,Sega,84,0.18,14.95,Sony PSP,M,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prince of Persia: Revelations,1,action,Ubisoft,65,0.17,6.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meteos,1,strategy,Nintendo,88,0.16,15.95,Nintendo DS,E,2005,17.26666667,26.58333333,14.1,10.33333333,23.75,30.61666667,23.75,16.86666667,20.41666667,25.4,21.21666667,13.9,8.516666667,11.05,7.5,6.5
Spyro: Shadow Legacy,1,role-playing (rpG),NA,50,0.15,17.95,Nintendo DS,E,2005,4,5.116666667,4.5,2.633333333,6,6,6,6,5,5,5,5,2.516666667,3.25,2.516666667,1.766666667
The Con,1,action,Sony,63,0.15,8.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infected,1,action,NA,74,0.15,17.95,Sony PSP,E,2005,6.666666667,7,6.666666667,6.333333333,0,0,0,0,0,0,0,0,6.666666667,7,6.666666667,6.333333333
Pursuit Force,1,action/racing  ,Sony,75,0.14,14.95,Sony PSP,M,2005,9.833333333,10.95,10,8.95,0,0,0,0,10,11,10,9,9.75,9.933333333,10,9.433333333
Kingdom of Paradise,2,action/role-playing (rpG),Sony,72,0.13,12.95,Sony PSP,E,2005,23,24.5,23,21.5,0,0,0,0,23,24.5,23,21.5,0,0,0,0
Dragon Ball Z: Supersonic Warriors 2,1,action,Atari,66,0.13,22.95,Nintendo DS,E,2005,15.08333333,19.93333333,14.7,11.26666667,15.25,20.05,15,11.38333333,14.25,14.25,14.25,14.25,14.96666667,15.25,14.96666667,14.68333333
Dragon Quest Heroes: Rocket Slime,1,action,SquareEnix,83,0.13,12.95,Nintendo DS,T,2005,15.1,23.61666667,13.36666667,11.61666667,22.61666667,25.4,25,19.48333333,16.28333333,24.31666667,15,12.81666667,12.58333333,14.18333333,12.16666667,10.68333333
Dead to Rights: Reckoning,1,action,Namco,54,0.13,14.95,Sony PSP,E,2005,3.1,4,2.916666667,2.2,5,5,5,5,0,0,0,0,2.15,2.533333333,2.15,1.783333333
Amped 3,1,sports,2K,72,0.13,14.95,X360,E,2005,8.566666667,9.883333333,9,6.383333333,9,9,9,9,10.03333333,10.65,10.58333333,9.15,6.333333333,7.416666667,6.666666667,5.25
Break 'em All,1,action,NA,68,0.12,17.95,Nintendo DS,T,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lunar: Dragon Song,1,role-playing (rpG),Ubisoft,59,0.12,14.95,Nintendo DS,M,2005,25.63333333,34.76666667,24.66666667,22.03333333,29.61666667,35.76666667,24.71666667,25.91666667,0,0,0,0,20.31666667,21.11666667,19.85,19.5
Retro Atari Classics,1,action/racing/simulation,Atari,51,0.12,12.95,Nintendo DS,E,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True Swing Golf,1,sports,Nintendo,66,0.12,14.95,Nintendo DS,E,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIFA Soccer,1,sports,EA,73,0.12,14.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metal Gear Ac!d 2,1,strategy,Konami,80,0.12,12.95,Sony PSP,E,2005,14.83333333,19.95,15,12.58333333,0,0,0,0,17.61666667,20.9,16,14.6,13.45,14.9,14.2,12.03333333
ATV Quad Frenzy,1,racing/sports,NA,35,0.11,14.95,Nintendo DS,T,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bomberman,1,strategy,Ubisoft,75,0.11,17.95,Nintendo DS,E,2005,3.333333333,4.133333333,3.2,2.633333333,0,0,0,0,0,0,0,0,3.333333333,4.133333333,3.2,2.633333333
GoldenEye: Rogue Agent,1,action,EA,58,0.11,14.95,Nintendo DS,T,2005,9.416666667,13.46666667,8.5,5.8,0,0,0,0,0,0,0,0,9.416666667,13.46666667,8.5,5.8
Need for Speed Underground 2,1,racing  ,EA,65,0.11,22.95,Nintendo DS,T,2005,20.96666667,29.23333333,20,17.73333333,23.36666667,30.21666667,21.5,20.71666667,20.9,24.21666667,20,18.71666667,19.6,20.9,20,17.4
Frogger: Helmet Chaos,1,action,Konami,66,0.11,19.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: Tactics,1,role-playing (rpG)/strategy,EA,64,0.11,19.95,Sony PSP,M,2005,5,5,5,5,0,0,0,0,0,0,0,0,5,5,5,5
Rengoku: The Tower of Purgatory,1,action/role-playing (rpG),Konami,43,0.11,12.95,Sony PSP,E,2005,4.716666667,5.083333333,4.716666667,4.35,0,0,0,0,0,0,0,0,4.716666667,5.083333333,4.716666667,4.35
Gretzky NHL,2,sports,Sony,61,0.1,9.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ridge Racer 6,2,racing  ,EA,74,0.1,14.95,X360,E,2005,8,8,8,8,0,0,0,0,0,0,0,0,8,8,8,8
Ford Racing 3,1,action/racing  ,NA,49,0.1,14.95,Nintendo DS,E,2005,7.1,8.3,8.016666667,5.433333333,8.4,8.75,8.466666667,8,5.666666667,5.666666667,5.666666667,5.666666667,3.333333333,3.333333333,3.333333333,3.333333333
NHL 2K6 ,1,sports,2K,75,0.1,5.95,X360,T,2005,2.5,3,2.5,2.016666667,2.5,3,2.5,2.016666667,0,0,0,0,0,0,0,0
Bust-a-Move DS,1,action/strategy,NA,75,0.09,17.95,Nintendo DS,E,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battles of Prince of Persia,1,strategy,Ubisoft,64,0.09,14.95,Nintendo DS,E,2005,8.5,10.38333333,8,6.616666667,0,0,0,0,0,0,0,0,8.5,10.38333333,8,6.616666667
GripShift,1,racing  ,Ubisoft,70,0.09,9.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scooby-Doo! Unmasked,1,action,THQ,60,0.08,17.95,Nintendo DS,E,2005,8,8,8,8,0,0,0,0,0,0,0,0,8,8,8,8
Viewtiful Joe: Double Trouble!,1,action,Capcom,73,0.08,14.95,Nintendo DS,E,2005,5.166666667,5.533333333,5,4.983333333,0,0,0,0,0,0,0,0,5.166666667,5.533333333,5,4.983333333
